timestamp,open,high,low,close,volume
2026-04-17 13:30:00+00:00,267.0979919433594,269.7900085449219,266.7200012207031,267.94000244140625,9836388
2026-04-17 13:45:00+00:00,267.9700012207031,269.5199890136719,267.45001220703125,268.9700012207031,2172982
2026-04-17 14:00:00+00:00,268.9800109863281,269.2300109863281,268.55999755859375,269.05999755859375,3171311
2026-04-17 14:15:00+00:00,269.0899963378906,269.4100036621094,268.5024108886719,268.5849914550781,1168586
2026-04-17 14:30:00+00:00,268.635009765625,269.8800048828125,268.44000244140625,269.739990234375,1583977
2026-04-17 14:45:00+00:00,269.80999755859375,270.4599914550781,269.57000732421875,270.25,2026530
2026-04-17 15:00:00+00:00,270.27020263671875,271.7300109863281,270.2200012207031,271.5849914550781,2166786
2026-04-17 15:15:00+00:00,271.5899963378906,272.1000061035156,271.2099914550781,271.94000244140625,1702944
2026-04-17 15:30:00+00:00,271.95001220703125,272.29998779296875,271.360107421875,271.42999267578125,1431162
2026-04-17 15:45:00+00:00,271.45001220703125,271.8699035644531,270.8830871582031,270.9700012207031,1003907
2026-04-17 16:00:00+00:00,270.9700012207031,271.4800109863281,270.7699890136719,271.30999755859375,838530
2026-04-17 16:15:00+00:00,271.30999755859375,271.625,271.17999267578125,271.54998779296875,762686
2026-04-17 16:30:00+00:00,271.55999755859375,271.7398986816406,271.3800048828125,271.5799865722656,1297435
2026-04-17 16:45:00+00:00,271.5799865722656,271.6000061035156,270.8299865722656,270.9700012207031,2327941
2026-04-17 17:00:00+00:00,270.9700012207031,271.489990234375,270.8800048828125,271.04998779296875,1294080
2026-04-17 17:15:00+00:00,271.04998779296875,271.1099853515625,270.17999267578125,270.5799865722656,1222030
2026-04-17 17:30:00+00:00,270.5799865722656,270.7300109863281,270.3800048828125,270.44000244140625,907997
2026-04-17 17:45:00+00:00,270.42999267578125,270.6300048828125,270.1600036621094,270.25,746717
2026-04-17 18:00:00+00:00,270.260009765625,270.4599914550781,269.9200134277344,270.0199890136719,736711
2026-04-17 18:15:00+00:00,270.0199890136719,270.5299987792969,269.94000244140625,270.19000244140625,749958
2026-04-17 18:30:00+00:00,270.19000244140625,270.79998779296875,270.19000244140625,270.6099853515625,1489758
