timestamp,open,high,low,close,volume
2026-04-17 12:00:00+00:00,267.0979919433594,272.29998779296875,266.7200012207031,270.9700012207031,26264573
2026-04-17 16:00:00+00:00,270.9700012207031,271.7398986816406,269.5299987792969,270.18499755859375,19751782
2026-04-20 12:00:00+00:00,270.3299865722656,274.2749938964844,270.3299865722656,272.77911376953125,15332136
2026-04-20 16:00:00+00:00,272.7699890136719,273.6400146484375,271.8399963378906,272.92999267578125,12103386
2026-04-21 12:00:00+00:00,271.44500732421875,272.79998779296875,266.55999755859375,266.7200012207031,16625988
2026-04-21 16:00:00+00:00,266.7301025390625,268.19000244140625,265.3999938964844,266.2200012207031,23960775
2026-04-22 12:00:00+00:00,267.82000732421875,273.2508850097656,266.8699951171875,273.010009765625,18332765
2026-04-22 16:00:00+00:00,273.0199890136719,273.739990234375,272.1004943847656,273.19000244140625,14720572
2026-04-23 12:00:00+00:00,275.0450134277344,275.7699890136719,273.0304870605469,273.4100036621094,10221405
2026-04-23 16:00:00+00:00,273.4200134277344,274.5450134277344,271.6499938964844,273.44000244140625,14526115
2026-04-24 12:00:00+00:00,272.760009765625,273.05999755859375,269.79998779296875,271.0321044921875,11834538
2026-04-24 16:00:00+00:00,271.0299987792969,271.67999267578125,269.6499938964844,271.05999755859375,15893965
2026-04-27 12:00:00+00:00,266.0899963378906,268.3599853515625,265.07000732421875,266.7900085449219,14498286
2026-04-27 16:00:00+00:00,266.69000244140625,267.9599914550781,266.0899963378906,267.67999267578125,13136563
